r,K_supply,K_demand
0.005,79.4389,9.53906
0.006,108.898,9.36632
0.007,128.437,9.19864
0.008,147.896,9.03584
0.009,167.275,8.87771
0.01,186.573,8.72406
0.011,205.792,8.57473
0.012,215.371,8.42955
0.013,234.469,8.28835
0.014,253.487,8.15099
0.015,272.425,8.01733
0.016,281.864,7.88722
0.017,300.681,7.76054
0.018,319.419,7.63716
0.019,338.076,7.51697
0.02,365.912,7.39985
0.021,384.369,7.28569
0.022,411.904,7.17439
0.023,430.16,7.06585
0.024,457.395,6.95998
0.025,493.427,6.85669
0.026,529.138,6.75588
0.027,564.529,6.65749
0.028,608.317,6.56142
0.029,660.2,6.46761
0.03,711.363,6.37597
0.031,778.457,6.28645
0.032,852.405,6.19897
0.033,948.477,6.11347
0.034,1056.91,6.02988
0.035,1197.8,5.94816
0.036,1378.86,5.86823
0.037,1607.19,5.79005
0.038,1910.76,5.71356
0.039,2290.78,5.63872
